,Description,image,lat,lon,Places,Region
,"In effect, mature redwood forests have created a new and mostly unexplored layer of life, within which exist species rare or absent elsewhere.",1.jpg,41.213179,-124.004628,The Redwood Forests of California,North America
,"Once the dominant tree of 60 percent of the land from Carolinas to eastern Texas, the longleaf savanna vegetation is adapted to frequent lightning-struck ground fires. The ground flora is one of the richest in North America, with as many as fifty herbaceous and shrubby species in a single square meter.",2.jpg,31.070877,-86.629149,The Longleaf Pine Savanna of the Southeastern United States,North America
,One-fourth of Mexico's native species occur in these ancient woodlands; many are found nowhere else. Pine Forests in Michoacán are the famous wintering place of the monarch butterflies from the United States,3.jpg,31.820146,-109.272639,The Madrean Pine-Oak Woodlands in Mexico and the Southwestern United States,North America
,The two largest islands of the Greater Antilles contain an exuberant fauna and flora that form the bulk of the biodiversity of all the West Indies.,4.jpg,23.13302,-82.38304,Cuba and Hispaniola,West Indies
,"This endless world of ecosystems, the largest drainage system in the world, also contains the greatest area of rain forest and the most biodiverse surrounding savannas. It feeds fifteen thousand primary and secondary tributaries of the Amazon River and covers seven and a half million square kilometers, 40 percent of the area of the continent. Its biodiversity, if its Andean headwaters are included, is the largest in the world.",5.jpg,-2.163106,-55.126648,The Amazon River Basin,South and Central America
,"The small countries of Guyana and Suriname, with neighboring French Guiana, are still 70 to 90 percent covered by pristine Amazon-related but distinctive rain forests. Their faunas and floras are exceptionally rich and remain among the least explored in the world.",6.jpg,5.14333,-60.7625,"The Guiana Shield of Guyana, Suriname, and French Guiana",South and Central America
,"These tableop mountains are the imagined ""lost worlds"" of H.G. Wells and Hollywood. Limited to Venezuela and western Guyana, they are composed of blocks of ancient quartz arenite sandstone thrust skyward from the surrounding rain forest. Their more or less flat tops in elevation from one thousand to three thousand meters. They are indeed worlds unto themselves, with weather radically different from that at lower elevations, spectacular rock formations, and waterfalls (Angel Falls is the highest in the world), and floras and faunas different from the lowlands below and from one tepui to the next.",7.jpg,5.3,-62.166667,The Tepuis of Venezuela and Guyana,South and Central America
,"North of the river exists the most concentrated biodiversity on Earth, including a full array of New World larger mammals. A simple square kilometer can harbor the same number of species of frogs found in the entire continental United States, and twice the number of birds and butterflies.",8.jpg,-11.85639,-71.72139,The Greater Manú Region of Peru,South and Central America
,"These cool, rain-soaked environments are distinct in both climate, and biodiversity from the lowland forests below. Many are poorly explored, and contain large numbers of still-unknown species.",9.jpg,-0.0511917,-78.7783028,The Cloud and Summit Forests of Central America and the Northern Andes,South and Central America
,"These high-elevation (2,800 to 4,700 meters) grasslands in South America contain many unique grasses, herbs, and woody bushes. They also stand out in their high rate of evolution of new species-possibly due to fluctuations of climate in the fragmented mountaintop environment.",10.jpg,9.00728,-70.62538,The Páramos of South America,South and Central America
